caderno_numero,tec_id,banca,concurso,ano,gabarito,enunciado_resumo,status_comparacao,questao_existente_id,unidade,artigos,uso_pedagogico,confianca,motivo,arquivo_origem,pagina
85,1076983,IBFC,Vig Patr (FSA)/FSA,2019,A,"Nos últimos tempos, tem aumentado a preocupação com a prevenção e combate à violência contra a mulher. A esse respeito, assinale a alternativa correta…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,18
86,1593095,PRÓ-MUNICÍPIO,Insp Seg (OSHCP HCP)/OSHCP,2019,D,"A respeito da Lei Maria da Penha, Lei 11.340/2006, marque V (para verdadeiro) e F (para falso). ( ) Toda mulher, independentemente de classe, raça, et…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,18
87,2561403,FAUEL,Psic (Guarapuava)/Pref Guarapuava,2019,B,"No que se refere ao objetivo da Lei Maria da Penha (Lei nº 11.340), é CORRETO afirmar que:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,18
88,1747721,CSC IFPA,Ass Soc (IF PA)/IF PA,2019,D,"A Lei Maria da Penha, Lei Federal número 11.340 de 7 de agosto de 2006, cria mecanismos para coibir a violência doméstica e familiar contra a mulher. …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,18
89,864577,IADES,Tec Enf (SEASTER PA)/SEASTER PA,2019,C,"A Lei nº 11.340/2006, denominada Lei Maria da Penha, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, bem como…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,19
90,1529733,OBJETIVA CONCURSOS,CSoc (Pref Chapecó)/Pref Chapecó,2019,B,"Segundo a Lei nº 11.340/2006, analisar os itens abaixo: I. Serão asseguradas às mulheres as condições para o exercício efetivo dos direitos à vida, à …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,19
91,1289893,OBJETIVA CONCURSOS,Enf (Pref SJ Ouro)/Pref SJ do Ouro,2019,A,"De acordo com a Lei nº 11.340/2006 - Lei Maria da Penha, assinalar a alternativa INCORRETA:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,19
92,1287814,ADM&TEC,ASoc (Pref Pedra)/Pref Pedra,2019,B,"Leia as afirmativas a seguir: I. Toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível educacional, idade e …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,19
93,1280016,OBJETIVA CONCURSOS,TEnf (S Cristóvão S)/Pref S Cristóvão Sul,2019,A,"Em conformidade com a Lei nº 11.340/2006, analisar os itens abaixo: I. Serão asseguradas às mulheres as condições para o exercício efetivo dos direito…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,20
94,1272071,IBFC,1º Ten (PM BA)/PM BA/Médico/Cardiologia,2019,E,"Acerca das disposições legais da Lei n° 11.340/2006 (conhecida como “Lei Maria da Penha”), leia o artigo 2° abaixo: “Art. 2º: Toda mulher, independent…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,20
95,3485122,CEPS Pref Arapiraca,Ass Soc (Pref Arapiraca)/Pref Arapiraca,2019,E,"A Lei n. 11.340, de 7 de agosto de 2006, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, nos termos do § 8o d…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,20
96,951498,VUNESP,Edu Soc (Valinhos)/Pref Valinhos,2019,A,"Ainda que recente, não se pode negar a importância da Lei Maria da Penha, um mecanismo para garantir a proteção da mulher nos casos de violência domés…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,20
97,962159,Unifil,Ori Soc (Jd Alegre)/Pref Jardim Alegre,2019,D,"A Lei nº 11.340/2006 criou para a violência doméstica e contra a , nos termos do Art. 226, § 8º da Constituição Federal, da Convenção sobre a Eliminaç…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,20
98,989303,FCM,CEFETMINAS - ASoc (Bela Vista MG)/Pref B Vista MG/Departamento de Assistência Social,2019,D,"A Lei 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), cria",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,21
99,1529832,OBJETIVA CONCURSOS,Enf (Pref Chapecó)/Pref Chapecó/Estomaterapeuta,2019,B,"A violência doméstica e familiar contra a mulher constitui uma das formas de violação dos direitos humanos. Considerando-se a Lei nº 11.340/2006, marc…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,21
100,2152302,AMEOSC,A Soc (Pref B Bonita (SC))/Pref B Bonita (SC),2019,C,"Para os efeitos da Lei Maria da Penha, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cau…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,21
101,1397689,ADM&TEC,Ori Soc (Olivença)/Pref Olivença,2019,C,"Leia as afirmativas a seguir: I. O CRAS não deve ser instalado em locais próximos a famílias em situação de vulnerabilidade. II. Toda mulher, independ…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,21
102,1355282,OBJETIVA CONCURSOS,ACS (Pref A Olinto)/Pref Antonio Olinto,2019,D,"Segundo a Lei nº 11.340/2006, toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível educacional, idade e rel…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,22
103,1068477,VUNESP,ASoc (Pref Mogi das Cruzes)/Pref Mogi Cruzes,2019,B,"Toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível educacional, idade e religião, goza dos direitos funda…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,22
104,832755,NUCEPE UESPI,GM (Pref Teresina)/Pref Teresina,2019,B,"à Lei Maria da Penha (11.340/2006), marque a alternativa CORRETA.",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,22
105,671809,VUNESP,Ass Soc (Pref Buritizal)/Pref Buritizal,2018,D,"Lei no 11.340/2006 (Lei Maria da Penha), ao criar mecanismos para coibir a violência doméstica e familiar contra a mulher, determina em seu art. 3o qu…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,22
106,672689,OBJETIVA CONCURSOS,Coord (V. Graeff)/Pref Victor Graeff/CRAS,2018,B,"Segundo o que dispõe a Lei nº 11.340/2006, analisar os itens abaixo: I - Toda mulher, independentemente de classe, raça, etnia, orientação sexual, ren…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,22
107,2196120,URI,Ass (Pref Santo Ângelo)/Pref Santo Ângelo,2018,A,"Segundo a Lei Maria da Penha, a violência doméstica e familiar contra a mulher constitui uma das formas de violação descrita corretamente na alternati…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,23
108,1158509,ADM&TEC,ASoc (Pref Serra T)/Pref Serra Talhada,2018,B,"Leia as afirmativas a seguir: I. A violência moral contra a mulher é entendida como qualquer conduta que configure calúnia, difamação ou injúria. II. …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,23
109,1158514,ADM&TEC,ASoc (Pref Serra T)/Pref Serra Talhada,2018,A,Leia as afirmativas a seguir: I. A interferência na formação psicológica da criança ou do adolescente promovida ou induzida por um dos genitores é con…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,23
110,921710,FAFIPA,Ass Soc (Pref Loanda/Pref Loanda/NASF,2018,C,"Com relação ao previsto e instituído na Lei Maria da Penha, assinale a alternativa CORRETA:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,23
111,538077,CPCON UEPB,Or Soc (Pref R Cruz)/Pref Riacho da Cruz,2017,B,"Julgue as assertivas abaixo com relação à lei Maria da Penha (lei nº 11.340, de 7/08/2006): I- Cria mecanismos para coibir e prevenir a violência domé…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,23
112,1221043,FUNDEPES COPEVE-UFAL,GM (Pref BS Miguel (AL))/Pref BS Miguel (AL),2017,D,"Acerca da Lei nº 11.340/2006, é correto afirmar:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,24
113,1550174,OBJETIVA CONCURSOS,AgLeg (CM Sta Maria)/CM Santa Maria/Vigilância,2016,D,"Em conformidade com a Lei nº 11.340/06, analisar a sentença abaixo: Toda mulher, dependendo da classe, raça, etnia, orientação sexual, renda, cultura,…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,24
114,975211,FUNRIO,Ass Soc (IF Baiano)/IF Baiano,2016,C,"Para os efeitos da Lei nº 11.340 de 07/08/2006, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero qu…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,24
115,1238180,CAIPIMES,GCM (Pref Sto André)/Pref Santo André/3ª Classe Feminino,2015,A,A Lei Maria da Penha: 1- cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher e estabelece medidas de assistência e…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,24
116,1229752,CAIPIMES,Psic (Pref Mogi das Cruzes)/Pref Mogi Cruzes,2015,D,"A Lei nº 11.340, conhecida popularmente como Lei Maria da Penha, em vigor a partir de 2006, é reconhecida mundialmente no enfrentamento à violência co…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,25
117,1238179,CAIPIMES,GCM (Pref Sto André)/Pref Santo André/3ª Classe Masculino,2015,B,É INCORRETO afirmar que no Preâmbulo e nos primeiros artigos das Disposições Preliminares da referida Lei consta que altera:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,25
118,519852,Instituto AOCP,Ass Soc (Pref Angra)/Pref Angra,2015,C,"Sobre a Lei 11.340/2006, assinale a alternativa correta.",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,25
119,806505,CEFETBAHIA,Estag (DPE BA)/DPE BA/Nível Médio,2015,A,"Em 2006, foi aprovada a Lei ________________, que visa diminuir a violência contra a mulher. Essa lei é aplicada quando as mulheres sofrem violência, …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,25
120,1103896,Legalle,Vis (Pref N Esp Sul)/Pref N Esper. do Sul,2015,E,A Lei Maria da Penha foi criada com o objetivo de:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,25
121,1036729,Instituto CONSULPAM,ASoc (Pref N Olinda)/Pref Nova Olinda,2015,D,É INCORRETO dizer sobre a Lei Maria da Penha:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,25
122,1238177,CAIPIMES,GCM (Pref Sto André)/Pref Santo André/3ª Classe Feminino,2015,D,"A Lei Nº 11.340, art. 3º da Lei Maria da Penha, assegura às mulheres as condições para o exercício efetivo dos direitos. Dentre a relação dos direitos…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,26
123,335333,FGV,Con Leg (CM Recife)/CM Recife/Ciências Sociais e Políticas,2014,C,"A Lei Maria da Penha entrou em vigor em 22 de setembro de 2006. O nome da lei é uma homenagem a Maria da Penha Maia, que após sofrer seis anos de viol…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,26
124,241971,VUNESP,Educ Soc (Pref RP)/Pref RP,2014,C,"É correto afirmar que uma das finalidades, entre outras, da Lei n.º 11.340, de 07 de agosto de 2006, conhecida como Lei Maria da Penha, é",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,26
125,278329,INCAB (ex-FUNCAB),Ag Adm (SEMCAS)/Pref Rio Branco (AC),2014,D,"A Lei Federal nº 11.340/2006, conhecida como Lei Maria da Penha, cria mecanismos para coibir e prevenir a violência contra a mulher, dispõe sobre a cr…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,26
126,3197479,AOCP,ASoc (DESO)/DESO,2013,C,"Na interpretação da Lei Maria da Penha, serão considerados os fins sociais a que ela se destina e, especialmente, as condições peculiares das mulheres…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,26
